District_Hospitals,Health_Sub_Centres_Mean_by_District_Hospitals,Health_Sub_Centres_Std_by_District_Hospitals,Primary_Health_Centres_Mean_by_District_Hospitals,Primary_Health_Centres_Std_by_District_Hospitals,Community_Health_Centres_Mean_by_District_Hospitals,Community_Health_Centres_Std_by_District_Hospitals,District_Hospitals_Normalized,Health_Sub_Centres_Mean_by_District_Hospitals_Normalized,Health_Sub_Centres_Std_by_District_Hospitals_Normalized,Primary_Health_Centres_Mean_by_District_Hospitals_Normalized,Primary_Health_Centres_Std_by_District_Hospitals_Normalized,Community_Health_Centres_Mean_by_District_Hospitals_Normalized,Community_Health_Centres_Std_by_District_Hospitals_Normalized,Beds_in_all_Hospitals,Beds_in_all_Hospitals_Normalized,Health_Sub_Centres_Normalized,Primary_Health_Centres_Normalized,Community_Health_Centres_Normalized,Area_Hospitals_Normalized,Teaching_Hospitals_Normalized,Ayurveda_Hospitals_incl_Dispensaries_Normalized,Homeopathic_Hospitals_incl_Dispensaries_Normalized,Unani_Hospitals_incl_Dispensaries_Normalized,Naturopathy_Hospitals_incl_Dispensaries_Normalized,Doctors_in_all_Hospitals_Normalized,Hospitals,Health_Sub_Centres,Primary_Health_Centres,Community_Health_Centres,Area_Hospitals,Teaching_Hospitals,Ayurveda_Hospitals_incl_Dispensaries,Homeopathic_Hospitals_incl_Dispensaries,Unani_Hospitals_incl_Dispensaries,Naturopathy_Hospitals_incl_Dispensaries,Doctors_in_all_Hospitals
0,150.68,47.851959207539245,19.12,6.495639563071009,2.96,2.371356854910988,-0.48193159734149926,-0.48193159734150315,-0.48193159734149965,-0.48193159734149904,-0.48193159734149915,-0.4819315973414958,0.4819315973415041,485,-0.16773358074289701,-0.43234281332614183,-0.0024059412723032637,-0.4963904185419524,-1.224744871391589,0.2194518730537527,-1.6683441661870866,-1.0437720029871378,-1.0973621853670716,-0.5801774647494381,-0.17665029129066273,ADILABAD,132,22,2,0,1,1,1,1,0,48
0,150.68,47.851959207539245,19.12,6.495639563071009,2.96,2.371356854910988,-0.48193159734149926,-0.48193159734150315,-0.48193159734149965,-0.48193159734149904,-0.48193159734149915,-0.4819315973414958,0.4819315973415041,556,-0.10052411210733972,1.6208256108099182,0.5196833148175198,1.6408461057358985,1.224744871391589,-0.3038564396128884,-0.16614215762858942,0.2635787886331157,-1.0973621853670716,0.9186143191866104,-0.06287282273579141,BHADRADRI,240,29,7,2,0,8,5,1,2,71
1,171.66666666666666,72.0018518280375,34.166666666666664,25.631360999109404,4.0,2.1908902300206643,2.008048322256247,2.0080483222562435,2.008048322256247,2.008048322256247,2.0080483222562475,2.0080483222562506,-2.0080483222562426,5798,4.861617220112257,-1.9341974939441857,4.6963973635361045,2.0682934105914685,2.449489742783178,4.929226687053522,-0.5953427315024458,1.2440918823483056,3.5414870527755484,0.16921842721858615,5.363817742685679,HYDERABAD,53,85,8,3,10,6,8,16,1,1168
0,150.68,47.851959207539245,19.12,6.495639563071009,2.96,2.371356854910988,-0.48193159734149926,-0.48193159734150315,-0.48193159734149965,-0.48193159734149904,-0.48193159734149915,-0.4819315973414958,0.4819315973415041,162,-0.47348933242296753,-0.07113725722813126,-0.37532683847931975,-0.4963904185419524,0.0,-0.3038564396128884,-0.3807424445655176,-1.0437720029871378,0.13966427813762713,-0.5801774647494381,-0.19643767712629254,JAGTIAL ,151,17,2,1,0,7,1,5,0,44
0,150.68,47.851959207539245,19.12,6.495639563071009,2.96,2.371356854910988,-0.48193159734149926,-0.48193159734150315,-0.48193159734149965,-0.48193159734149904,-0.48193159734149915,-0.4819315973414958,0.4819315973415041,278,-0.36368231324374717,-0.6224510007461473,-0.6736635562449329,-1.3512850282530928,0.0,-0.3038564396128884,1.550660137866836,-0.06325890927194769,-0.1695923377385475,0.16921842721858615,-0.19643767712629254,JANGAON ,122,13,0,1,0,16,4,4,1,44
0,150.68,47.851959207539245,19.12,6.495639563071009,2.96,2.371356854910988,-0.48193159734149926,-0.48193159734150315,-0.48193159734149965,-0.48193159734149904,-0.48193159734149915,-0.4819315973414958,0.4819315973415041,332,-0.3125652525913515,0.46116566754788435,0.22134659705190662,0.35850419116918797,-1.224744871391589,-0.3038564396128884,0.26305841624526694,0.2635787886331157,-0.1695923377385475,-0.5801774647494381,-0.1618097519139404,JAYASHANKAR ,179,25,4,0,0,10,5,4,0,51
0,150.68,47.851959207539245,19.12,6.495639563071009,2.96,2.371356854910988,-0.48193159734149926,-0.48193159734150315,-0.48193159734149965,-0.48193159734149904,-0.48193159734149915,-0.4819315973414958,0.4819315973415041,142,-0.49242157710904,-1.1737647442641634,-0.9720002740105461,-0.9238377233975226,0.0,-0.3038564396128884,0.4776587031821951,-0.7169343050820743,0.7581775098899765,-0.5801774647494381,-0.23601244879755212,JOGULAMBA ,93,9,1,1,0,11,2,7,0,36
0,150.68,47.851959207539245,19.12,6.495639563071009,2.96,2.371356854910988,-0.48193159734149926,-0.48193159734150315,-0.48193159734149965,-0.48193159734149904,-0.48193159734149915,-0.4819315973414958,0.4819315973415041,470,-0.1819327642574514,0.8794036798718966,-0.22615847959651314,1.2133988008803283,1.224744871391589,-0.3038564396128884,-0.16614215762858942,-0.39009660717701106,0.13966427813762713,0.16921842721858615,-0.15686290545503295,KAMAREDDY ,201,19,6,2,0,8,3,5,1,52
1,171.66666666666666,72.0018518280375,34.166666666666664,25.631360999109404,4.0,2.1908902300206643,2.008048322256247,2.0080483222562435,2.008048322256247,2.008048322256247,2.0080483222562475,2.0080483222562506,-2.0080483222562426,982,0.3027326997060041,-0.24223462590613626,-0.449911017920723,-0.4963904185419524,-1.224744871391589,-0.3038564396128884,-0.16614215762858942,-0.7169343050820743,0.13966427813762713,-0.5801774647494381,0.07563887811361715,KARIMNAGAR ,142,16,2,0,0,8,2,5,0,99
1,171.66666666666666,72.0018518280375,34.166666666666664,25.631360999109404,4.0,2.1908902300206643,2.008048322256247,2.0080483222562435,2.008048322256247,2.008048322256247,2.0080483222562475,2.0080483222562506,-2.0080483222562426,594,-0.06455284720380201,1.3166525109379095,-0.0024059412723032637,0.35850419116918797,-1.224744871391589,0.2194518730537527,-0.3807424445655176,3.531955767683749,-0.7881055694908968,-0.5801774647494381,-0.15191605899612548,KHAMMAM ,224,22,4,0,1,7,15,2,0,53
0,150.68,47.851959207539245,19.12,6.495639563071009,2.96,2.371356854910988,-0.48193159734149926,-0.48193159734150315,-0.48193159734149965,-0.48193159734149904,-0.48193159734149915,-0.4819315973414958,0.4819315973415041,148,-0.4867419037032183,-0.8695916443921546,-0.3007426590379164,-0.4963904185419524,-1.224744871391589,-0.3038564396128884,-0.5953427315024458,-0.7169343050820743,-0.4788489536147222,-0.5801774647494381,-0.18654398420847762,KOMARAM BHEEM ,109,18,2,0,0,6,2,3,0,46
0,150.68,47.851959207539245,19.12,6.495639563071009,2.96,2.371356854910988,-0.48193159734149926,-0.48193159734150315,-0.48193159734149965,-0.48193159734149904,-0.48193159734149915,-0.4819315973414958,0.4819315973415041,288,-0.35421619090071094,0.2520466613858782,-0.37532683847931975,-0.9238377233975226,0.0,-0.3038564396128884,0.26305841624526694,0.590416486538179,-0.1695923377385475,0.16921842721858615,-0.23106560233864468,MAHABUBABAD,168,17,1,1,0,10,6,4,1,37
0,150.68,47.851959207539245,19.12,6.495639563071009,2.96,2.371356854910988,-0.48193159734149926,-0.48193159734150315,-0.48193159734149965,-0.48193159734149904,-0.48193159734149915,-0.4819315973414958,0.4819315973415041,198,-0.4394112919880371,1.202587598485906,0.4450991353761165,0.35850419116918797,0.0,0.2194518730537527,1.7652604248037642,-0.06325890927194769,0.4489208940138018,-0.5801774647494381,-0.1420223660783106,MAHABUBNAGAR,218,28,4,1,1,17,4,6,0,55
0,150.68,47.851959207539245,19.12,6.495639563071009,2.96,2.371356854910988,-0.48193159734149926,-0.48193159734150315,-0.48193159734149965,-0.48193159734149904,-0.48193159734149915,-0.4819315973414958,0.4819315973415041,314,-0.3296042728088167,-0.47036445081014294,-0.449911017920723,-0.06894311368638223,0.0,-0.3038564396128884,-0.3807424445655176,-0.39009660717701106,-0.4788489536147222,0.16921842721858615,-0.1914908306673851,MANCHERIAL ,130,16,3,1,0,7,3,3,1,45
0,150.68,47.851959207539245,19.12,6.495639563071009,2.96,2.371356854910988,-0.48193159734149926,-0.48193159734150315,-0.48193159734149965,-0.48193159734149904,-0.48193159734149915,-0.4819315973414958,0.4819315973415041,204,-0.4337316185822153,0.09996011144987375,-0.22615847959651314,-0.4963904185419524,0.0,-0.3038564396128884,0.4776587031821951,-0.39009660717701106,-0.7881055694908968,0.16921842721858615,-0.16675659837284784,MEDAK ,160,19,2,1,0,11,3,2,1,50
0,150.68,47.851959207539245,19.12,6.495639563071009,2.96,2.371356854910988,-0.48193159734149926,-0.48193159734150315,-0.48193159734149965,-0.48193159734149904,-0.48193159734149915,-0.4819315973414958,0.4819315973415041,96,-0.5359657398870067,-0.9456349193601569,-0.8228319151277395,-0.4963904185419524,-1.224744871391589,-0.3038564396128884,-1.0245433053763022,-0.7169343050820743,-0.4788489536147222,-0.5801774647494381,-0.3151619921400713,MEDCHAL,105,11,2,0,0,4,2,3,0,20
0,150.68,47.851959207539245,19.12,6.495639563071009,2.96,2.371356854910988,-0.48193159734149926,-0.48193159734150315,-0.48193159734149965,-0.48193159734149904,-0.48193159734149915,-0.4819315973414958,0.4819315973415041,330,-0.3144584770599587,0.46116566754788435,0.14676241761050332,0.35850419116918797,0.0,-0.3038564396128884,2.623661572551477,0.2635787886331157,1.3766907416423257,-0.5801774647494381,-0.2508529881742745,NAGARKURNOOL ,179,24,4,1,0,21,5,9,0,33
1,171.66666666666666,72.0018518280375,34.166666666666664,25.631360999109404,4.0,2.1908902300206643,2.008048322256247,2.0080483222562435,2.008048322256247,2.008048322256247,2.0080483222562475,2.0080483222562506,-2.0080483222562426,1380,0.6794843689588463,1.9440095294239277,0.7434358531417297,-0.4963904185419524,1.224744871391589,-0.3038564396128884,1.7652604248037642,2.551442673968559,2.6137172051470245,-0.5801774647494381,-0.09750074794814356,NALGONDA ,257,32,2,2,0,17,12,13,0,64
0,150.68,47.851959207539245,19.12,6.495639563071009,2.96,2.371356854910988,-0.48193159734149926,-0.48193159734150315,-0.48193159734149965,-0.48193159734149904,-0.48193159734149915,-0.4819315973414958,0.4819315973415041,198,-0.4394112919880371,-0.850580825650154,-0.449911017920723,-0.4963904185419524,1.224744871391589,-0.3038564396128884,-1.2391435923132303,-1.0437720029871378,-0.7881055694908968,0.16921842721858615,-0.21622506296192232,NIRMAL ,110,16,2,2,0,3,1,2,1,40
0,150.68,47.851959207539245,19.12,6.495639563071009,2.96,2.371356854910988,-0.48193159734149926,-0.48193159734150315,-0.48193159734149965,-0.48193159734149904,-0.48193159734149915,-0.4819315973414958,0.4819315973415041,967,0.2885335161914497,1.3166525109379095,-0.0024059412723032637,2.0682934105914685,0.0,0.2194518730537527,-0.16614215762858942,-0.06325890927194769,-0.1695923377385475,0.9186143191866104,-0.04803228335906907,NIZAMABAD ,224,22,8,1,1,8,4,4,2,74
0,150.68,47.851959207539245,19.12,6.495639563071009,2.96,2.371356854910988,-0.48193159734149926,-0.48193159734150315,-0.48193159734149965,-0.48193159734149904,-0.48193159734149915,-0.4819315973414958,0.4819315973415041,102,-0.5302860664811849,-0.9456349193601569,-0.5244951973621264,-0.06894311368638223,0.0,-0.3038564396128884,-1.2391435923132303,-0.06325890927194769,-0.4788489536147222,-0.5801774647494381,-0.2854809133866266,PEDDAPALLI ,105,15,3,1,0,3,4,3,0,26
0,150.68,47.851959207539245,19.12,6.495639563071009,2.96,2.371356854910988,-0.48193159734149926,-0.48193159734150315,-0.48193159734149965,-0.48193159734149904,-0.48193159734149915,-0.4819315973414958,0.4819315973415041,126,-0.507567372857898,-1.2117863817481647,-0.6736635562449329,-1.3512850282530928,0.0,-0.3038564396128884,-1.0245433053763022,-1.0437720029871378,-0.4788489536147222,-0.5801774647494381,-0.30032145276334893,RAJANNA ,91,13,0,1,0,4,1,3,0,23
0,150.68,47.851959207539245,19.12,6.495639563071009,2.96,2.371356854910988,-0.48193159734149926,-0.48193159734150315,-0.48193159734149965,-0.48193159734149904,-0.48193159734149915,-0.4819315973414958,0.4819315973415041,246,-0.39397390474146315,1.4687390608739137,0.6688516737003264,2.495740715447039,1.224744871391589,-0.3038564396128884,-0.5953427315024458,-0.39009660717701106,0.4489208940138018,-0.5801774647494381,-0.245906141715367,RANGAREDDY ,232,31,9,2,0,6,3,6,0,34
1,171.66666666666666,72.0018518280375,34.166666666666664,25.631360999109404,4.0,2.1908902300206643,2.008048322256247,2.0080483222562435,2.008048322256247,2.008048322256247,2.0080483222562475,2.0080483222562506,-2.0080483222562426,576,-0.08159186742126724,0.8223712236458949,0.5942674942589231,0.35850419116918797,1.224744871391589,-0.3038564396128884,-0.16614215762858942,-0.06325890927194769,-0.4788489536147222,3.9161978870587073,0.07563887811361715,SANGAREDDY ,198,30,4,2,0,8,4,3,6,99
0,150.68,47.851959207539245,19.12,6.495639563071009,2.96,2.371356854910988,-0.48193159734149926,-0.48193159734150315,-0.48193159734149965,-0.48193159734149904,-0.48193159734149915,-0.4819315973414958,0.4819315973415041,308,-0.3352839462146385,0.6702846737098904,0.8180200325831329,-0.06894311368638223,0.0,-0.3038564396128884,0.04845812930833877,0.590416486538179,0.13966427813762713,2.417406103122659,-0.06287282273579141,SIDDIPET ,190,33,3,1,0,9,6,5,4,71
0,150.68,47.851959207539245,19.12,6.495639563071009,2.96,2.371356854910988,-0.48193159734149926,-0.48193159734150315,-0.48193159734149965,-0.48193159734149904,-0.48193159734149915,-0.4819315973414958,0.4819315973415041,738,0.07175931453591983,0.32808993635388045,0.07217823816910003,-0.9238377233975226,1.224744871391589,-0.3038564396128884,1.1214595639929796,0.590416486538179,-0.4788489536147222,-0.5801774647494381,-0.22611875587973723,SURYAPET ,172,23,1,2,0,14,6,3,0,38
1,171.66666666666666,72.0018518280375,34.166666666666664,25.631360999109404,4.0,2.1908902300206643,2.008048322256247,2.0080483222562435,2.008048322256247,2.008048322256247,2.0080483222562475,2.0080483222562506,-2.0080483222562426,266,-0.37504166005539064,0.02391683648187153,-0.15157430015510984,0.35850419116918797,-1.224744871391589,-0.3038564396128884,-1.4537438792501585,-0.7169343050820743,-0.7881055694908968,-0.5801774647494381,-0.2508529881742745,VIKARABAD ,156,20,4,0,0,2,2,2,0,33
0,150.68,47.851959207539245,19.12,6.495639563071009,2.96,2.371356854910988,-0.48193159734149926,-0.48193159734150315,-0.48193159734149965,-0.48193159734149904,-0.48193159734149915,-0.4819315973414958,0.4819315973415041,142,-0.49242157710904,-1.0596998318121602,-0.7482477356863362,-0.4963904185419524,0.0,-0.3038564396128884,0.4776587031821951,-0.7169343050820743,0.7581775098899765,-0.5801774647494381,-0.23601244879755212,WANAPARTHY ,99,12,2,1,0,11,2,7,0,36
0,150.68,47.851959207539245,19.12,6.495639563071009,2.96,2.371356854910988,-0.48193159734149926,-0.48193159734150315,-0.48193159734149965,-0.48193159734149904,-0.48193159734149915,-0.4819315973414958,0.4819315973415041,2007,1.2730102398672185,-0.16619135093813403,-0.37532683847931975,-0.06894311368638223,-1.224744871391589,-0.3038564396128884,0.26305841624526694,0.2635787886331157,-0.4788489536147222,0.16921842721858615,-0.20138452358519998,WARANGAL (R) ,146,17,3,0,0,10,5,3,1,43
0,150.68,47.851959207539245,19.12,6.495639563071009,2.96,2.371356854910988,-0.48193159734149926,-0.48193159734150315,-0.48193159734149965,-0.48193159734149904,-0.48193159734149915,-0.4819315973414958,0.4819315973415041,1541,0.8318889386817299,-1.3828837504261697,-0.8228319151277395,-1.3512850282530928,-1.224744871391589,1.789376811053676,-0.3807424445655176,0.2635787886331157,-0.1695923377385475,0.9186143191866104,-0.2656935275509968,WARANGAL (U),82,11,0,0,4,7,5,4,2,30
0,150.68,47.851959207539245,19.12,6.495639563071009,2.96,2.371356854910988,-0.48193159734149926,-0.48193159734150315,-0.48193159734149965,-0.48193159734149904,-0.48193159734149915,-0.4819315973414958,0.4819315973415041,554,-0.10241733657594697,-0.4893752695521435,-0.3007426590379164,-0.06894311368638223,0.0,-0.3038564396128884,0.6922589901191233,-0.06325890927194769,-0.4788489536147222,-0.5801774647494381,-0.2557998346331819,YADADRI ,129,18,3,1,0,12,4,3,0,32
